,true,predicted
515,196,288.39743
516,18,196.86165
517,376,525.9913
518,323,696.331
519,105,408.52484
520,242,488.69534
521,26,588.18384
522,402,768.4808
523,150,557.92285
524,141,373.62982
525,487,929.0956
526,349,658.8331
527,502,599.50757
528,541,804.4732
529,67,266.5575
530,9,249.37138
531,325,540.25653
532,366,571.69824
533,555,921.7954
534,451,489.5402
535,220,381.3233
536,95,485.94083
537,539,649.7066
538,7,288.50275
539,145,205.41714
540,132,551.13135
541,445,626.3407
542,500,697.6677
543,317,853.08264
544,48,214.65672
545,291,378.38025
546,38,255.69473
547,400,675.642
548,206,389.9506
549,61,378.6304
550,72,548.7608
551,386,666.1954
552,410,652.5148
553,442,872.0594
554,483,858.98456
555,189,453.32236
556,364,665.2009
557,231,428.59924
558,528,904.203
559,336,546.5422
560,329,531.25323
561,159,365.57254
562,211,386.33145
563,478,743.3646
564,218,624.27765
565,399,765.8005
566,290,460.57126
567,579,949.99554
568,345,373.6081
569,230,301.85522
570,468,609.3465
571,274,455.4784
572,115,244.10057
573,412,731.72327
574,6,243.83043
575,593,581.9521
576,493,849.7034
577,402,480.93768
578,236,440.38068
579,187,431.54468
580,489,612.1605
581,375,453.4472
582,521,551.13135
583,488,909.337
584,558,844.44763
585,578,641.89795
586,244,412.89716
587,452,584.86804
588,449,521.2364
589,503,604.3181
590,262,719.1391
591,331,722.6383
592,487,711.14545
593,570,894.34406
594,269,358.87424
595,110,548.6967
596,534,839.9617
597,458,540.7008
598,79,244.41011
599,101,523.1701
600,11,172.65778
601,170,482.54727
602,64,362.93335
603,494,685.8151
604,86,372.72095
605,177,299.88092
606,319,678.2681
607,600,750.7771
608,204,248.82875
609,447,869.5223
610,14,205.26776
611,55,650.33514
612,44,574.746
613,90,249.92804
614,245,453.64572
615,547,820.70966
616,444,639.14905
617,268,857.18536
618,59,223.51956
619,40,316.60785
620,501,770.25653
621,222,203.35423
